id,nome,tipo,nivel_magia,custo_mana,prereq,execucao,alcance,alvo,duracao,categoria,natureza,descricao
740,Armadilha de Gelo Elite,Magias Iniciais,4,6,,Padrão,Curto,Local,5 rodadas,Invocação,Água,"O conjurador pode manter simultaneamente até dois Círculos Mágicos Congelantes ocultos em uma área. Quando uma criatura ativa uma dessas armadilhas, deve realizar uma salvaguarda de Reflexos. Em caso de falha, sofre 2d8 de dano de Água e recebe a condição Congelado até o início do próximo turno do conjurador. Em caso de sucesso, evita completamente os efeitos da armadilha. Após ser ativado, o círculo mágico se desfaz imediatamente."
741,Armadilha de Gelo Maior,Magias Iniciais,5,8,,Padrão,Curto,Local,5 rodadas,Invocação,Água,"O conjurador pode manter simultaneamente até três Círculos Mágicos Congelantes ocultos em uma área. Quando uma criatura ativa uma dessas armadilhas, deve realizar uma salvaguarda de Reflexos. Em caso de falha, sofre 2d8 de dano de Água e recebe a condição Congelado até o início do próximo turno do conjurador. Em caso de sucesso, evita completamente os efeitos da armadilha. Após ser ativado, o círculo mágico se desfaz imediatamente."
742,Barreira Congelante,Magias Iniciais,2,2,,Padrão,Curto,Local,3 rodadas,Invocação,Água,"O conjurador ergue uma parede de gelo cristalino com até 3 metros de largura e 9 metros de altura. A barreira bloqueia passagem, linha de efeito e projéteis não mágicos. Criaturas atrás dela recebem redução de dano igual aos Pontos de Vida restantes da barreira. A barreira possui 10 Pontos de Vida."
743,Barreira Congelante Elite,Magias Iniciais,4,6,,Padrão,Curto,Local,3 rodadas,Invocação,Água,"O conjurador ergue uma parede de gelo cristalino com até 3 metros de largura e 9 metros de altura. A barreira bloqueia passagem, linha de efeito e projéteis não mágicos. Criaturas atrás dela recebem redução de dano igual aos Pontos de Vida restantes da barreira. A barreira possui 40 Pontos de Vida."
744,Barreira Congelante Maior,Magias Iniciais,5,8,,Padrão,Curto,Local,3 rodadas,Invocação,Água,"O conjurador ergue uma parede de gelo cristalino com até 3 metros de largura e 9 metros de altura. A barreira bloqueia passagem, linha de efeito e projéteis não mágicos. Criaturas atrás dela recebem redução de dano igual aos Pontos de Vida restantes da barreira. A barreira possui 80 Pontos de Vida."
745,Clones de Gelo Elite,Magias Iniciais,4,6,,Padrão,Pessoal,Conjurador,Sustentada,Defensiva,Água,"Você cria clones feitos de gelo e mana ao seu redor. Enquanto ao menos um clone existir, você recebe +2 de Defesa Base. Sempre que um ataque contra você for bem-sucedido, role 1d4: 1–3, o ataque atinge um clone e o destrói; 4, o ataque acerta você normalmente. Ataques em área e efeitos sem ataque direto ignoram os clones. Cria 3 clones de gelo."
746,Clones de Gelo Maior,Magias Iniciais,5,8,,Padrão,Pessoal,Conjurador,Sustentada,Defensiva,Água,"Você cria clones feitos de gelo e mana ao seu redor. Enquanto ao menos um clone existir, você recebe +2 de Defesa Base. Sempre que um ataque contra você for bem-sucedido, role 1d4: 1–3, o ataque atinge um clone e o destrói; 4, o ataque acerta você normalmente. Ataques em área e efeitos sem ataque direto ignoram os clones. Cria 4 clones de gelo."
747,Clones de Gelo Avançado,Magias Iniciais,6,10,,Padrão,Pessoal,Conjurador,Sustentada,Defensiva,Água,"Você cria clones feitos de gelo e mana ao seu redor. Enquanto ao menos um clone existir, você recebe +2 de Defesa Base. Sempre que um ataque contra você for bem-sucedido, role 1d4: 1–3, o ataque atinge um clone e o destrói; 4, o ataque acerta você normalmente. Ataques em área e efeitos sem ataque direto ignoram os clones. Cria 5 clones de gelo."
748,Colapso Oceânico Elite,Magias Iniciais,4,6,,Completa,Médio,Local,Instantânea,Ofensiva,Água,Você comprime a umidade do ambiente em uma massa de água de alta pressão e a libera em uma explosão hidráulica devastadora. Criaturas em uma área de 9 metros devem realizar salvaguarda de Tenacidade. Falha: sofrem 3d6 de dano de Água e são arremessadas 9 metros para trás. Sucesso: recebem metade do dano e não são empurradas.
749,Colapso Oceânico Maior,Magias Iniciais,5,8,,Completa,Médio,Local,Instantânea,Ofensiva,Água,Você comprime a umidade do ambiente em uma massa de água de alta pressão e a libera em uma explosão hidráulica devastadora. Criaturas em uma área de 9 metros devem realizar salvaguarda de Tenacidade. Falha: sofrem 4d6 de dano de Água e são arremessadas 12 metros para trás. Sucesso: recebem metade do dano e não são empurradas.
750,Colapso Oceânico Avançado,Magias Iniciais,6,10,,Completa,Médio,Local,Instantânea,Ofensiva,Água,Você comprime a umidade do ambiente em uma massa de água de alta pressão e a libera em uma explosão hidráulica devastadora. Criaturas em uma área de 9 metros devem realizar salvaguarda de Tenacidade. Falha: sofrem 6d6 de dano de Água e são arremessadas 15 metros para trás. Sucesso: recebem metade do dano e não são empurradas.
751,Lança de Gelo Elite,Magias Iniciais,4,6,,Padrão,Médio,Criatura,Instantânea,Ofensiva,Água,"O conjurador cria um círculo mágico congelante que dispara duas lanças de gelo contra um alvo. Realize um único ataque mágico; em caso de acerto, ambas as lanças atingem o alvo, sendo tratadas como duas fontes de dano distintas que utilizam a mesma rolagem de ataque. Cada lança causa 2d6 de dano de Água. Em caso de acerto crítico, além do dano normal, o alvo recebe a condição Congelado 1 rodadas."
752,Lança de Gelo Maior,Magias Iniciais,5,8,,Padrão,Médio,Criatura,Instantânea,Ofensiva,Água,"O conjurador cria um círculo mágico congelante que dispara três lanças de gelo contra um alvo. Realize um único ataque mágico; em caso de acerto, ambas as lanças atingem o alvo, sendo tratadas como duas fontes de dano distintas que utilizam a mesma rolagem de ataque. Cada lança causa 2d6 de dano de Água. Em caso de acerto crítico, além do dano normal, o alvo recebe a condição Congelado 1 rodadas."
753,Lança de Gelo Avançado,Magias Iniciais,6,10,,Padrão,Médio,Criatura,Instantânea,Ofensiva,Água,"O conjurador cria um círculo mágico congelante que dispara quatro lanças de gelo contra um alvo. Realize um único ataque mágico; em caso de acerto, ambas as lanças atingem o alvo, sendo tratadas como duas fontes de dano distintas que utilizam a mesma rolagem de ataque. Cada lança causa 2d6 de dano de Água. Em caso de acerto crítico, além do dano normal, o alvo recebe a condição Congelado 1 rodadas."
754,Prisão de Água Elite,Magias Iniciais,4,6,,Padrão,Médio,Criatura,Sustentada,Controle,Água,"O conjurador cria uma esfera de água ao redor de uma criatura. Realize um ataque mágico. Em caso de sucesso, o alvo fica Aprisionado e deve realizar uma salvaguarda de Luta contra a CD de Magia do conjurador +2 para escapar. Enquanto permanecer aprisionado, o alvo não consegue respirar e sofre 1d10 de dano direto por sufocamento ao final de cada turno; esse dano ignora redução de dano. Criaturas que não necessitam respirar ou que possuem respiração aquática são imunes ao efeito de sufocamento. No início de cada turno do conjurador, a magia deve ser sustentada mediante o gasto de Mana igual ao custo de sua conjuração; caso contrário, o efeito é dissipado."
755,Prisão de Água Maior,Magias Iniciais,5,8,,Padrão,Médio,Criatura,Sustentada,Controle,Água,"O conjurador cria uma esfera de água ao redor de uma criatura. Realize um ataque mágico. Em caso de sucesso, o alvo fica Aprisionado e deve realizar uma salvaguarda de Luta contra a CD de Magia do conjurador +5 para escapar. Enquanto permanecer aprisionado, o alvo não consegue respirar e sofre 1d10 de dano direto por sufocamento ao final de cada turno; esse dano ignora redução de dano. Criaturas que não necessitam respirar ou que possuem respiração aquática são imunes ao efeito de sufocamento. No início de cada turno do conjurador, a magia deve ser sustentada mediante o gasto de Mana igual ao custo de sua conjuração; caso contrário, o efeito é dissipado."
756,Prisão de Água Avançado,Magias Iniciais,6,10,,Padrão,Médio,Criatura,Sustentada,Controle,Água,"O conjurador cria uma esfera de água ao redor de uma criatura. Realize um ataque mágico. Em caso de sucesso, o alvo fica Aprisionado e deve realizar uma salvaguarda de Luta contra a CD de Magia do conjurador +10 para escapar. Enquanto permanecer aprisionado, o alvo não consegue respirar e sofre 1d10 de dano direto por sufocamento ao final de cada turno; esse dano ignora redução de dano. Criaturas que não necessitam respirar ou que possuem respiração aquática são imunes ao efeito de sufocamento. No início de cada turno do conjurador, a magia deve ser sustentada mediante o gasto de Mana igual ao custo de sua conjuração; caso contrário, o efeito é dissipado."
757,Rajada Congelante Elite,Magias Iniciais,4,6,,Padrão,Curto,Local,Instantânea,Ofensiva,Água,"O conjurador realiza um ataque mágico e libera uma rajada congelante em linha reta de até 12 metros. Criaturas atingidas na área sofrem 2d10 de dano de Água. Em caso de acerto crítico, o frio extremo as envolve completamente, aplicando a condição Congelado por 1 rodada."
758,Rajada Congelante Maior,Magias Iniciais,5,8,,Padrão,Curto,Local,Instantânea,Ofensiva,Água,"O conjurador realiza um ataque mágico e libera uma rajada congelante em linha reta de até 12 metros. Criaturas atingidas na área sofrem 3d10 de dano de Água. Em caso de acerto crítico, o frio extremo as envolve completamente, aplicando a condição Congelado por 1 rodada."
759,Rajada Congelante Avançado,Magias Iniciais,6,10,,Padrão,Curto,Local,Instantânea,Ofensiva,Água,"O conjurador realiza um ataque mágico e libera uma rajada congelante em linha reta de até 12 metros. Criaturas atingidas na área sofrem 5d10 de dano de Água. Em caso de acerto crítico, o frio extremo as envolve completamente, aplicando a condição Congelado por 1 rodada."
760,Véu de Bruma Elite,Magias Iniciais,4,6,,Reação,Pessoal,Conjurador,Instantânea,Defensiva,Água,"Quando o conjurador é alvo de um ataque, ele se dissolve parcialmente em bruma antes do impacto. O ataque sofre Desvantagem. Se o ataque errar, o conjurador pode teleportar até  6 metros e concede +1 em Defesa Base. para qualquer espaço visível como parte da reação, emergindo da névoa. Se o ataque acertar, apenas metade do dano é sofrida."
761,Véu de Bruma Maior,Magias Iniciais,5,8,,Reação,Pessoal,Conjurador,Instantânea,Defensiva,Água,"Quando o conjurador é alvo de um ataque, ele se dissolve parcialmente em bruma antes do impacto. O ataque sofre Desvantagem. Se o ataque errar, o conjurador pode teleportar até  9 metros e concede +2 em Defesa Base. para qualquer espaço visível como parte da reação, emergindo da névoa. Se o ataque acertar, apenas metade do dano é sofrida."
762,Véu de Bruma Avançado,Magias Iniciais,6,10,,Reação,Pessoal,Conjurador,Instantânea,Defensiva,Água,"Quando o conjurador é alvo de um ataque, ele se dissolve parcialmente em bruma antes do impacto. O ataque sofre Desvantagem. Se o ataque errar, o conjurador pode teleportar até  12 metros e concede +3 em Defesa Base. para qualquer espaço visível como parte da reação, emergindo da névoa. Se o ataque acertar, apenas metade do dano é sofrida."
763,Alarme Mágico,Magias Iniciais,2,2,,Padrão,Longo,Local,Permanente,Controle,Arcano,"O conjurador cria um selo arcano invisível que funciona como um alarme mágico dentro da área escolhida. Sempre que uma criatura indesejada atravessar a região protegida, o alarme é ativado. A armadilha pode ser identificada e desativada através de uma salvaguarda de Prestidigitação. A CD para detectar ou desarmar o alarme é igual à CD de magia do conjurador. A área protegida possui raio de 18 metros."
764,Alarme Mágico Elite,Magias Iniciais,4,6,,Padrão,Longo,Local,Permanente,Controle,Arcano,"O conjurador cria um selo arcano invisível que funciona como um alarme mágico dentro da área escolhida. Sempre que uma criatura indesejada atravessar a região protegida, o alarme é ativado. A armadilha pode ser identificada e desativada através de uma salvaguarda de Prestidigitação. A CD para detectar ou desarmar o alarme é igual à CD de magia do conjurador. A área protegida possui raio de 36 metros."
765,Alarme Mágico Maior,Magias Iniciais,5,8,,Padrão,Longo,Local,Permanente,Controle,Arcano,"O conjurador cria um selo arcano invisível que funciona como um alarme mágico dentro da área escolhida. Sempre que uma criatura indesejada atravessar a região protegida, o alarme é ativado. A armadilha pode ser identificada e desativada através de uma salvaguarda de Prestidigitação. A CD para detectar ou desarmar o alarme aumenta em +5 mais à CD de magia do conjurador. A área protegida possui raio de 36 metros."
766,Anular Magia,Magias Iniciais,2,2,,Reação,Médio,Magia,Instantânea,Controle,Arcano,"Anula magias de nível Menor ou inferior automaticamente. Para magias de níveis superiores, o conjurador deve realizar um teste da perícia Foco para tentar anulá-las; a CD do teste aumenta em +5 para cada nível acima. Magias de niveis Lendário ou superiores não podem ser anuladas por esta habilidade."
767,Anular Magia Elite,Magias Iniciais,4,6,,Reação,Médio,Magia,Instantânea,Controle,Arcano,"Anula magias de nível Elite ou inferior automaticamente. Para magias de níveis superiores, o conjurador deve realizar um teste da perícia Foco para tentar anulá-las; a CD do teste aumenta em +5 para cada nível acima. Magias de niveis Lendário ou superiores não podem ser anuladas por esta habilidade."
768,Anular Magia Maior,Magias Iniciais,5,8,,Reação,Médio,Magia,Instantânea,Controle,Arcano,"Anula magias de nível Maior ou inferior automaticamente. Para magias de níveis superiores, o conjurador deve realizar um teste da perícia Foco para tentar anulá-las; a CD do teste aumenta em +5 para cada nível acima. Magias de niveis Lendário ou superiores não podem ser anuladas por esta habilidade."
769,Barreira Mágica,Magias Iniciais,2,2,,Reação,Curto,Local,Instantânea,Defensiva,Arcano,"O conjurador utiliza sua reação para manifestar uma barreira de mana capaz de interceptar feitiços. A barreira possui Defesa igual a 10 + Intelecto + Foco. Sempre que o conjurador for alvo de um ataque mágico, compare o resultado do ataque com a Defesa da barreira. Se o ataque não a superar, seus efeitos são anulados; caso contrário, o conjurador sofre apenas metade do dano. A barreira pode resistir a até 1 fontes de ataque mágico antes de se desfazer."
770,Magias Iniciais 6 Elite,Magias Iniciais,4,6,,Reação,Curto,Local,Instantânea,Defensiva,Arcano,"O conjurador utiliza sua reação para manifestar uma barreira de mana capaz de interceptar feitiços. A barreira possui Defesa igual a 10 + Intelecto + Foco. Sempre que o conjurador for alvo de um ataque mágico, compare o resultado do ataque com a Defesa da barreira. Se o ataque não a superar, seus efeitos são anulados; caso contrário, o conjurador sofre apenas metade do dano. A barreira pode resistir a até 2 fontes de ataque mágico antes de se desfazer."
771,Barreira Mágica Maior,Magias Iniciais,5,8,,Reação,Curto,Local,Instantânea,Defensiva,Arcano,"O conjurador utiliza sua reação para manifestar uma barreira de mana capaz de interceptar feitiços. A barreira possui Defesa igual a 10 + Intelecto + Foco. Sempre que o conjurador for alvo de um ataque mágico, compare o resultado do ataque com a Defesa da barreira. Se o ataque não a superar, seus efeitos são anulados; caso contrário, o conjurador sofre apenas metade do dano. A barreira pode resistir a até 3 fontes de ataque mágico antes de se desfazer."
772,Explosão Arcana Elite,Magias Iniciais,4,6,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Arcano,"O conjurador cria uma esfera de energia arcana e realiza um ataque mágico contra uma criatura. Em caso de sucesso, a esfera explode no impacto, causando 3d6 de dano Arcano ao alvo. Criaturas adjacentes devem realizar uma salvaguarda de Reflexos; em caso de falha, recebem o dano completo da explosão, e em caso de sucesso, recebem apenas metade do dano."
773,Explosão Arcana Maior,Magias Iniciais,5,8,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Arcano,"O conjurador cria uma esfera de energia arcana e realiza um ataque mágico contra uma criatura. Em caso de sucesso, a esfera explode no impacto, causando 5d6 de dano Arcano ao alvo. Criaturas adjacentes devem realizar uma salvaguarda de Reflexos; em caso de falha, recebem o dano completo da explosão, e em caso de sucesso, recebem apenas metade do dano."
774,Explosão Arcana Avançado,Magias Iniciais,6,10,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Arcano,"O conjurador cria uma esfera de energia arcana e realiza um ataque mágico contra uma criatura. Em caso de sucesso, a esfera explode no impacto, causando 7d6 de dano Arcano ao alvo. Criaturas adjacentes devem realizar uma salvaguarda de Reflexos; em caso de falha, recebem o dano completo da explosão, e em caso de sucesso, recebem apenas metade do dano."
775,Grilhões de Mana Elite,Magias Iniciais,4,6,,Padrão,Médio,Criatura,2 Rodada,Controle,Arcano,"O conjurador escolhe uma criatura que possa ver. O alvo deve realizar um teste de Foco; em caso de falha, seu deslocamento é reduzido pela metade e ele não pode realizar investidas. Além disso, ataques físicos e mágicos realizados contra o conjurador passam a ser feitos com desvantagem enquanto o efeito permanecer ativo."
776,Grilhões de Mana Maior,Magias Iniciais,5,8,,Padrão,Médio,Criatura,3 Rodada,Controle,Arcano,"O conjurador escolhe uma criatura que possa ver. O alvo deve realizar um teste de Foco; em caso de falha, seu deslocamento é reduzido pela metade e ele não pode realizar investidas. Além disso, ataques físicos e mágicos realizados contra o conjurador passam a ser feitos com desvantagem enquanto o efeito permanecer ativo."
777,Grilhões de Mana Avançado,Magias Iniciais,6,10,,Padrão,Médio,Criatura,5 Rodada,Controle,Arcano,"O conjurador escolhe uma criatura que possa ver. O alvo deve realizar um teste de Foco; em caso de falha, seu deslocamento é reduzido pela metade e ele não pode realizar investidas. Além disso, ataques físicos e mágicos realizados contra o conjurador passam a ser feitos com desvantagem enquanto o efeito permanecer ativo."
778,Labirinto de Névoa Elite,Magias Iniciais,4,6,,Padrão,Curto,Local,3 rodadas,Controle,Arcano,O conjurador invoca um campo de névoa arcana translúcida que distorce a percepção espacial dentro da área. Criaturas dentro da névoa enxergam caminhos que não existem e perdem a noção de direção. Cria uma névoa arcana em uma área de 12 metros de raio. Criaturas dentro da névoa ficam Confusas e têm seu deslocamento reduzido à metade. O conjurador e aliados designados no momento do conjuro são imunes ao efeito.
779,Labirinto de Névoa Maior,Magias Iniciais,5,8,,Padrão,Curto,Local,3 rodadas,Controle,Arcano,O conjurador invoca um campo de névoa arcana translúcida que distorce a percepção espacial dentro da área. Criaturas dentro da névoa enxergam caminhos que não existem e perdem a noção de direção. Cria uma névoa arcana em uma área de 15 metros de raio. Criaturas dentro da névoa ficam Confusas e têm seu deslocamento reduzido à metade. O conjurador e aliados designados no momento do conjuro são imunes ao efeito.
780,Labirinto de Névoa Avançado,Magias Iniciais,6,10,,Padrão,Curto,Local,3 rodadas,Controle,Arcano,O conjurador invoca um campo de névoa arcana translúcida que distorce a percepção espacial dentro da área. Criaturas dentro da névoa enxergam caminhos que não existem e perdem a noção de direção. Cria uma névoa arcana em uma área de 18 metros de raio. Criaturas dentro da névoa ficam Confusas e têm seu deslocamento reduzido à metade. O conjurador e aliados designados no momento do conjuro são imunes ao efeito.
781,Lâmina de Mana Elite,Magias Iniciais,4,6,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Arcano,"Você cria uma lâmina feita de energia arcana pura e realiza um corte mágico contra o alvo. Realize um ataque mágico contra a Defesa da criatura. Em caso de acerto, causa 3d8 de dano Arcano."
782,Lâmina de Mana Maior,Magias Iniciais,5,8,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Arcano,"Você cria uma lâmina feita de energia arcana pura e realiza um corte mágico contra o alvo. Realize um ataque mágico contra a Defesa da criatura. Em caso de acerto, causa 4d8 de dano Arcano."
783,Lâmina de Mana Avançado,Magias Iniciais,6,10,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Arcano,"Você cria uma lâmina feita de energia arcana pura e realiza um corte mágico contra o alvo. Realize um ataque mágico contra a Defesa da criatura. Em caso de acerto, causa 5d8 de dano Arcano."
784,Manto Arcano Elite,Magias Iniciais,4,6,,Padrão,Pessoal,Conjurador,1 Rodada,Defensiva,Arcano,"Você envolve seu corpo com uma camada condensada de energia arcana instável, criando um escudo temporário que absorve parte do dano recebido. Este efeito não é acumulativo com outros efeitos de absorção de dano. O Manto absorve até 20 pontos de dano mágico antes de ser rompido. Se o escudo não for totalmente consumido no início do turno, o conjurador recupera 6d4 de Mana."
785,Manto Arcano Maior,Magias Iniciais,5,8,,Padrão,Pessoal,Conjurador,1 Rodada,Defensiva,Arcano,"Você envolve seu corpo com uma camada condensada de energia arcana instável, criando um escudo temporário que absorve parte do dano recebido. Este efeito não é acumulativo com outros efeitos de absorção de dano. O Manto absorve até 35 pontos de dano mágico antes de ser rompido. Se o escudo não for totalmente consumido no início do turno, o conjurador recupera 1d8 de Mana."
786,Manto Arcano Avançado,Magias Iniciais,6,10,,Padrão,Pessoal,Conjurador,1 Rodada,Defensiva,Arcano,"Você envolve seu corpo com uma camada condensada de energia arcana instável, criando um escudo temporário que absorve parte do dano recebido. Este efeito não é acumulativo com outros efeitos de absorção de dano. O Manto absorve até 55 pontos de dano mágico antes de ser rompido. Se o escudo não for totalmente consumido no início do turno, o conjurador recupera 1d10 de Mana."
787,Rajadas Arcanas Sequenciais Elite,Magias Iniciais,4,6,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Arcano,"O conjurador cria um círculo arcano que dispara quatro rajadas de energia contra um alvo. Realize um único ataque mágico. Em caso de acerto, as três rajadas atingem o alvo, sendo tratadas como fontes de dano distintas que utilizam a mesma rolagem de ataque. Cada rajada causa 1d6 + Intelecto do conjurador de dano Arcano."
788,Rajadas Arcanas Sequenciais Maior,Magias Iniciais,5,8,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Arcano,"O conjurador cria um círculo arcano que dispara cinco rajadas de energia contra um alvo. Realize um único ataque mágico. Em caso de acerto, as três rajadas atingem o alvo, sendo tratadas como fontes de dano distintas que utilizam a mesma rolagem de ataque. Cada rajada causa 1d6 + Intelecto do conjurador de dano Arcano."
789,Rajadas Arcanas Sequenciais Avançado,Magias Iniciais,6,10,,Padrão,Curto,Criatura,Instantânea,Ofensiva,Arcano,"O conjurador cria um círculo arcano que dispara seis rajadas de energia contra um alvo. Realize um único ataque mágico. Em caso de acerto, as três rajadas atingem o alvo, sendo tratadas como fontes de dano distintas que utilizam a mesma rolagem de ataque. Cada rajada causa 1d6 + Intelecto do conjurador de dano Arcano."
790,Transferência de Mana Elite,Magias Iniciais,4,6,,Padrão,Toque,Criatura,Instantânea,Utilidade,Arcano,O conjurador transfere parte de sua própria energia mágica para uma criatura aliada. O alvo recupera Mana igual ao Intelecto+2 do conjurador. O conjurador perde a mesma quantidade de Mana transferida. Esta magia não pode aumentar a Mana do alvo acima do máximo. O alvo recupera Mana igual ao Intelecto do conjurador.
791,Transferência de Mana Maior,Magias Iniciais,5,8,,Padrão,Toque,Criatura,Instantânea,Utilidade,Arcano,O conjurador transfere parte de sua própria energia mágica para uma criatura aliada. O alvo recupera Mana igual ao Intelecto+4 do conjurador. O conjurador perde a mesma quantidade de Mana transferida. Esta magia não pode aumentar a Mana do alvo acima do máximo. O alvo recupera Mana igual ao Intelecto do conjurador.
792,Transferência de Mana Avançado,Magias Iniciais,6,10,,Padrão,Toque,Criatura,Instantânea,Utilidade,Arcano,O conjurador transfere parte de sua própria energia mágica para uma criatura aliada. O alvo recupera Mana igual ao Intelecto+7 do conjurador. O conjurador perde a mesma quantidade de Mana transferida. Esta magia não pode aumentar a Mana do alvo acima do máximo. O alvo recupera Mana igual ao Intelecto do conjurador.
